author,title
http://www.gra.fo/publication/Peter_T__Wood,Magic Factoring of Closure Programs.
http://www.gra.fo/publication/Stéphane_Grumbach,Tractable Query Languages for Complex Object Databases.
http://www.gra.fo/publication/Piero_Fraternali,Automatic Rule Generation for Constraint Enforcement in Active Databases.
http://www.gra.fo/publication/Marina_Roesler,Concurrency Control Scheme for Shared Objects: A Peephole Approach Based on Semantics (extended abstract).
http://www.gra.fo/publication/Chen_Li_____,Query Planning with Limited Source Capabilities.
http://www.gra.fo/publication/Lijuan_Li,Query Planning with Limited Source Capabilities.
http://www.gra.fo/publication/ICDE,Query Planning with Limited Source Capabilities.
http://www.gra.fo/publication/Chen_Li_____,An Agent-Based Approach to Extending the Native Active Capability of Relational Database Systems.
http://www.gra.fo/publication/Lijuan_Li,An Agent-Based Approach to Extending the Native Active Capability of Relational Database Systems.
http://www.gra.fo/publication/ICDE,An Agent-Based Approach to Extending the Native Active Capability of Relational Database Systems.
http://www.gra.fo/publication/Chen_Li_____,"""SEMCOG: A Hybrid Object-based Image Database System and Its Modeling"
http://www.gra.fo/publication/Lijuan_Li,"""SEMCOG: A Hybrid Object-based Image Database System and Its Modeling"
http://www.gra.fo/publication/ICDE,"""SEMCOG: A Hybrid Object-based Image Database System and Its Modeling"
http://www.gra.fo/publication/Bernhard_Mitschang,Extending the Relational Algebra to Capture Complex Objects.
http://www.gra.fo/publication/Phillip_Bogle,Reducing Cross Domain Call Overhead using Batched Futures.
http://www.gra.fo/publication/Lars_Arge,Scalable Sweeping-Based Spatial Join.
http://www.gra.fo/publication/Stephen_Ferg,Modelling the Time Dimension in an Entity-Relationship Diagram.
http://www.gra.fo/publication/Stephen_Ferg,Cardinality Constraints in Entity-Relationship Modeling.
http://www.gra.fo/publication/Hans_Peter_Kriegel,PLOP-Hashing: A Grid File without Directory.
http://www.gra.fo/publication/Hans_Peter_Kriegel,Multidimensional Dynamic Quantile Hashing is Very Efficient for Non-Uniform Record Distributions.
http://www.gra.fo/publication/Luca_Forlizzi,A Data Model and Data Structures for Moving Objects Databases.
http://www.gra.fo/publication/Darren_Erik_Vengroff,Efficient 3-D Range Searching in External Memory.
http://www.gra.fo/publication/Francis_Jack_Smith,Integration of Scientific Data and Formulae in an Object-Oriented System.
http://www.gra.fo/publication/Shahrul_Azman_Noah,An Evaluation of Two Approaches to Exploiting Real-World Knowledge by Intelligent Database Design Models.
http://www.gra.fo/publication/Edward_P__F__Chan,On the Properties and Characterization of Connection-tap-free Schemes.
http://www.gra.fo/publication/Paul_B__Callahan,Topology B-Trees and Their Applications.
http://www.gra.fo/publication/Jan_Van_den_Bussche,Complex Object Multi-Level Fixpoint Queries.
http://www.gra.fo/publication/Nasser_Yazdani,Sequence Matching of Images.
http://www.gra.fo/publication/Gyula_O__H__Katona,Combinatorial and Algebraic Results for Database Relations.
http://www.gra.fo/publication/Sang_Hyuk_Son,An Algorithm for Database Reconstruction in Distributed Environments.
http://www.gra.fo/publication/Hans_Argenton,Multiway-Tree Retrieval Based on Treegrams.
http://www.gra.fo/publication/Maria_L__Barja,Informia: A Mediator for Integrated Access to Heterogeneous Information Sources.
http://www.gra.fo/publication/Philip_S__Yu,Effect of System Dynamics on Coupling Architectures for Transaction Processing.
http://www.gra.fo/publication/Philip_S__Yu,Concurrency Control Using Locking with Deferred Blocking.
http://www.gra.fo/publication/Steve_B__Cousins,A Task-Oriented Interface to a Digital Library.
http://www.gra.fo/publication/Sergei_Nirenburg,Towards a Data Model for Artificial Intelligence Applications.
http://www.gra.fo/publication/Nadejda_Biscondi,Parallel Databases: Structured Query Optimization.
http://www.gra.fo/publication/Nauman_A__Chaudhry,A Design Methodology for Databases with Uncertain Data.
http://www.gra.fo/publication/Wolfgang_Wahlster,Over-Answering Yes-No Questions: Extended Responses in a NL Interface to a Vision System.
http://www.gra.fo/publication/R__Bharat_Rao,Learning Engineering Models with the Minimum Description Length Principle.
http://www.gra.fo/publication/R__Ramesh,Automata-Driven Indexing of Prolog Clauses.
http://www.gra.fo/publication/Klaus_R__Dittrich,Datenbankkonzepte für Ingenieuranwendungen: ein ?bersicht über den Stand der Entwicklung.
http://www.gra.fo/publication/Janis_Barzdins,Towards Integrated Computer Aided Systems and Software Engineering Tool for Information Systems Design.
http://www.gra.fo/publication/,03/01/2002
http://www.gra.fo/publication/journal,03/01/2002
http://www.gra.fo/publication/,17/03/2015
http://www.gra.fo/publication/journal,17/03/2015
http://www.gra.fo/publication/,31/03/2017
http://www.gra.fo/publication/journal,31/03/2017
http://www.gra.fo/publication/Sanju_K__Bansal,Real World Requirements for Decision Support - Implications for RDBMS.
http://www.gra.fo/publication/Gabriella_Bono,Natural Language Restatement of Queries Expressed in a Graphical Language.
http://www.gra.fo/publication/Rei_Chi_Lee,Using Type Inference and Induced Rules to Provide Intensional Answers.
http://www.gra.fo/publication/Dorothy_E__Denning,The Many-Time Pad: Theme and Variations.
http://www.gra.fo/publication/Andrea_S__Hemerly,Cooperative Behavior Through Request Modification.
http://www.gra.fo/publication/John_M__Long,Issues Related to Medical Statistical Databases.
http://www.gra.fo/publication/Joachim_Biskup,Decomposition of Relationships through Pivoting.
http://www.gra.fo/publication/Michael_J__Maher,Logic Semantics for a Class of Committed-Choice Programs.
http://www.gra.fo/publication/Michael_J__Maher,Eqivalences of Logic Programs.
