IRI,first_name,last_name
http://www.gra.fo/publication/Colin_Stirling,Colin,Stirling
http://www.gra.fo/publication/Florian_Waas,Florian,Waas
http://www.gra.fo/publication/Alan_Eustace,Alan,Eustace
http://www.gra.fo/publication/James_M__Morris,James M.,Morris
http://www.gra.fo/publication/Paul_Klose,Paul,Klose
http://www.gra.fo/publication/M__Vetter,M.,Vetter
http://www.gra.fo/publication/Carl_E__Taylor,Carl E.,Taylor
http://www.gra.fo/publication/Philip_Newcomb,Philip,Newcomb
http://www.gra.fo/publication/Kenneth_C__Wilner,Kenneth C.,Wilner
http://www.gra.fo/publication/Roger_U__Fujii,Roger U.,Fujii
http://www.gra.fo/publication/Mark_Derthick,Mark,Derthick
http://www.gra.fo/publication/T__W__Parr,T. W.,Parr
http://www.gra.fo/publication/Jennifer_G__Steiner,Jennifer G.,Steiner
http://www.gra.fo/publication/Douglas_M__Flewelling,Douglas M.,Flewelling
http://www.gra.fo/publication/Alan_W__Biermann,Alan W.,Biermann
http://www.gra.fo/publication/Walter_D__Potter,Walter D.,Potter
http://www.gra.fo/publication/Steve_Olson,Steve,Olson
http://www.gra.fo/publication/Eric_Christensen,Eric,Christensen
http://www.gra.fo/publication/Satoshi_Tojo,Satoshi,Tojo
http://www.gra.fo/publication/M__F__Schmidt,M. F.,Schmidt
http://www.gra.fo/publication/Greg_N__Frederickson,Greg N.,Frederickson
http://www.gra.fo/publication/G__P__Martin,G. P.,Martin
http://www.gra.fo/publication/Keng_Tai_Ko,Keng-Tai,Ko
http://www.gra.fo/publication/Kyuseok_Shim,Kyuseok,Shim
http://www.gra.fo/publication/Kunio_Teramoto,Kunio,Teramoto
http://www.gra.fo/publication/Bruce_J__McKenzie,Bruce J.,McKenzie
http://www.gra.fo/publication/Joachim_W__Schmidt,Joachim W.,Schmidt
http://www.gra.fo/publication/Richard_E__Mayer,Richard E.,Mayer
http://www.gra.fo/publication/Frank_Wolter,Frank,Wolter
http://www.gra.fo/publication/Gerald_Candela,Gerald,Candela
http://www.gra.fo/publication/Kazutoshi_Fujikawa,Kazutoshi,Fujikawa
http://www.gra.fo/publication/Howard_M__Taylor,Howard M.,Taylor
http://www.gra.fo/publication/Raghu_Krishnapuram,Raghu,Krishnapuram
http://www.gra.fo/publication/Dexter_Kozen,Dexter,Kozen
http://www.gra.fo/publication/John_V__Harrison,John V.,Harrison
http://www.gra.fo/publication/Ross_Wilkinson,Ross,Wilkinson
http://www.gra.fo/publication/Jörg_Gebhardt,Jörg,Gebhardt
http://www.gra.fo/publication/Peter_Neo,Peter,Neo
http://www.gra.fo/publication/Heinrich_Jasper,Heinrich,Jasper
http://www.gra.fo/publication/Mehmet_Altinel,Mehmet,Altinel
http://www.gra.fo/publication/José_Busta,José,Busta
http://www.gra.fo/publication/Patrick_Doane,Patrick,Doane
http://www.gra.fo/publication/Leo_Bachmair,Leo,Bachmair
http://www.gra.fo/publication/S__Warren,S.,Warren
http://www.gra.fo/publication/Thom_Peters,Thom,Peters
http://www.gra.fo/publication/José_M__Piquer,José M.,Piquer
http://www.gra.fo/publication/A__Gunton,A.,Gunton
http://www.gra.fo/publication/Tse_Men_Koon,Tse-Men,Koon
http://www.gra.fo/publication/Reinhard_Braumandl,Reinhard,Braumandl
http://www.gra.fo/publication/Yossi_Matias,Yossi,Matias
http://www.gra.fo/publication/Bruce_W__Ballard,Bruce W.,Ballard
http://www.gra.fo/publication/Carl_August_Zehnder,Carl August,Zehnder
http://www.gra.fo/publication/Mitsunori_Ogihara,Mitsunori,Ogihara
http://www.gra.fo/publication/U__Bussolati,U.,Bussolati
http://www.gra.fo/publication/Guy_Hochgesang,Guy,Hochgesang
http://www.gra.fo/publication/Chris_D__Rowles,Chris D.,Rowles
http://www.gra.fo/publication/H__T__Kung,H. T.,Kung
http://www.gra.fo/publication/Michael_J__Ginzberg,Michael J.,Ginzberg
http://www.gra.fo/publication/Aleksandar_Popovic,Aleksandar,Popovic
http://www.gra.fo/publication/Brian_E__Clark,Brian E.,Clark
http://www.gra.fo/publication/Shigeo_Shimada,Shigeo,Shimada
http://www.gra.fo/publication/Lars_Bækgaard,Lars,Bækgaard
http://www.gra.fo/publication/Tracy_Mullen,Tracy,Mullen
http://www.gra.fo/publication/Thomas_Bode,Thomas,Bode
http://www.gra.fo/publication/H__Sebastian_Seung,H. Sebastian,Seung
http://www.gra.fo/publication/C__White,C.,White
http://www.gra.fo/publication/Norman_E__Fenton,Norman E.,Fenton
http://www.gra.fo/publication/Simeon_C__Ntafos,Simeon C.,Ntafos
http://www.gra.fo/publication/Igor_Hawryszkiewycz,Igor,Hawryszkiewycz
http://www.gra.fo/publication/Elena_Barcucci,Elena,Barcucci
http://www.gra.fo/publication/T__Mironova,T.,Mironova
http://www.gra.fo/publication/Shigekoto_Kaihara,Shigekoto,Kaihara
http://www.gra.fo/publication/Raymond_E__Miller,Raymond E.,Miller
http://www.gra.fo/publication/Dino_Pedreschi,Dino,Pedreschi
http://www.gra.fo/publication/Toufic_M__Mezher,Toufic M.,Mezher
http://www.gra.fo/publication/Amin_Abdulghani,Amin,Abdulghani
http://www.gra.fo/publication/Dushan_Z__Badal,Dushan Z.,Badal
http://www.gra.fo/publication/Sreekumar_T__Shenoy,Sreekumar T.,Shenoy
http://www.gra.fo/publication/Robin_R__Kladke,Robin R.,Kladke
http://www.gra.fo/publication/Jason_Zander,Jason,Zander
http://www.gra.fo/publication/Jay_M__Tenenbaum,Jay M.,Tenenbaum
http://www.gra.fo/publication/P__P__S__Narayan,P. S.,Narayan
http://www.gra.fo/publication/Jürgen_Angele,Jürgen,Angele
http://www.gra.fo/publication/Vivek_Bansal,Vivek,Bansal
http://www.gra.fo/publication/Alan_Carle,Alan,Carle
http://www.gra.fo/publication/Alistair_Sinclair,Alistair,Sinclair
http://www.gra.fo/publication/Jan_Jannink,Jan,Jannink
http://www.gra.fo/publication/Yoram_Singer,Yoram,Singer
http://www.gra.fo/publication/Sanjive_Agarwala,Sanjive,Agarwala
http://www.gra.fo/publication/Allen_Wirfs_Brock,Allen,Wirfs-Brock
http://www.gra.fo/publication/William_E__McCarthy,William E.,McCarthy
http://www.gra.fo/publication/Maxine_D__Brown,Maxine D.,Brown
http://www.gra.fo/publication/Devavrat_Shah,Devavrat,Shah
http://www.gra.fo/publication/Slawomir_Zadrozny,Slawomir,Zadrozny
http://www.gra.fo/publication/James_L__Smith,James L.,Smith
http://www.gra.fo/publication/John_E__Fothergill,John E.,Fothergill
http://www.gra.fo/publication/Mauro_Biajiz,Mauro,Biajiz
http://www.gra.fo/publication/Oren_Zamir,Oren,Zamir
http://www.gra.fo/publication/Carla_D__Savage,Carla D.,Savage
http://www.gra.fo/publication/Jeng_Kuen_Chiu,Jeng-Kuen,Chiu
http://www.gra.fo/publication/Jozef_Sirán,Jozef,Sirán
http://www.gra.fo/publication/Robert_Meersman,Robert,Meersman
http://www.gra.fo/publication/Christian_S__Jensen,Christian S.,Jensen
http://www.gra.fo/publication/Kenneth_Kunen,Kenneth,Kunen
http://www.gra.fo/publication/Daniel_S__Weld,Daniel S.,Weld
http://www.gra.fo/publication/Jeff_Conklin,Jeff,Conklin
http://www.gra.fo/publication/Anthony_S__Maida,Anthony S.,Maida
http://www.gra.fo/publication/Alan_J__Perlis,Alan J.,Perlis
http://www.gra.fo/publication/Weiye_Zhang,Weiye,Zhang
http://www.gra.fo/publication/Mitsuo_Miyazaki,Mitsuo,Miyazaki
http://www.gra.fo/publication/Edward_Remias,Edward,Remias
http://www.gra.fo/publication/Guy_T__Almes,Guy T.,Almes
http://www.gra.fo/publication/Walter_L__Ruzzo,Walter L.,Ruzzo
http://www.gra.fo/publication/Mordechay_Schneider,Mordechay,Schneider
http://www.gra.fo/publication/Wang_Xu,Wang,Xu
http://www.gra.fo/publication/Stephen_R__Mahaney,Stephen R.,Mahaney
http://www.gra.fo/publication/Kyu_Ho_Park,Kyu Ho,Park
http://www.gra.fo/publication/Eric_D__Carlson,Eric D.,Carlson
http://www.gra.fo/publication/Ian_Parberry,Ian,Parberry
http://www.gra.fo/publication/Agnès_Voisard,Agnès,Voisard
http://www.gra.fo/publication/Brigitte_Verdonk,Brigitte,Verdonk
http://www.gra.fo/publication/Rohit_Jain,Rohit,Jain
http://www.gra.fo/publication/Hans_Jörg_Kreowski,Hans-Jörg,Kreowski
http://www.gra.fo/publication/Julie_A__Launhardt,Julie A.,Launhardt
http://www.gra.fo/publication/J__L__McKenney,J. L.,McKenney
http://www.gra.fo/publication/Shi_Jie_Jiang,Shi-Jie,Jiang
http://www.gra.fo/publication/Theodore_Bially,Theodore,Bially
http://www.gra.fo/publication/Helmar_Gust,Helmar,Gust
http://www.gra.fo/publication/George_B__Purdy,George B.,Purdy
http://www.gra.fo/publication/Friedemann_Mattern,Friedemann,Mattern
http://www.gra.fo/publication/T__Itajima,T.,Itajima
http://www.gra.fo/publication/Shin_Yuan_Tzou,Shin-Yuan,Tzou
http://www.gra.fo/publication/Maurice_Landry,Maurice,Landry
http://www.gra.fo/publication/Leila_De_Floriani,Leila De,Floriani
http://www.gra.fo/publication/Luca_Cabibbo,Luca,Cabibbo
http://www.gra.fo/publication/Ali_Morfeq,Ali,Morfeq
http://www.gra.fo/publication/Antoni_Olivé,Antoni,Olivé
http://www.gra.fo/publication/Hans_Argenton,Hans,Argenton
http://www.gra.fo/publication/Alvin_M__Despain,Alvin M.,Despain
http://www.gra.fo/publication/Philip_H__Goodman,Philip H.,Goodman
http://www.gra.fo/publication/Martin_L__Polaschek,Martin L.,Polaschek
http://www.gra.fo/publication/Joyce_K__Reynolds,Joyce K.,Reynolds
http://www.gra.fo/publication/John_M__Gauch,John M.,Gauch
http://www.gra.fo/publication/Michael_D__Kupfer,Michael D.,Kupfer
http://www.gra.fo/publication/Paula_Brito,Paula,Brito
http://www.gra.fo/publication/Derek_G__Corneil,Derek G.,Corneil
http://www.gra.fo/publication/Roger_Weber,Roger,Weber
http://www.gra.fo/publication/J__R__Rames,J. R.,Rames
http://www.gra.fo/publication/Angela_Y__Wu,Angela Y.,Wu
http://www.gra.fo/publication/Ming_Li_____,Ming Li,0001
http://www.gra.fo/publication/Ming_Li_____,Ming Li,0008
http://www.gra.fo/publication/Holm_Wegner,Holm,Wegner
http://www.gra.fo/publication/Neophytos_Iacovou,Neophytos,Iacovou
http://www.gra.fo/publication/Alexius_Ludeman,Alexius,Ludeman
http://www.gra.fo/publication/Torsten_Polle,Torsten,Polle
http://www.gra.fo/publication/Edward_J__Belove,Edward J.,Belove
http://www.gra.fo/publication/Mahan_K__Pillalamarri,Mahan K.,Pillalamarri
http://www.gra.fo/publication/Jon_Louis_Bentley,Jon Louis,Bentley
http://www.gra.fo/publication/G__M__Nijssen,G. M.,Nijssen
http://www.gra.fo/publication/C__L__Liu_____,C. L. Liu,0001
http://www.gra.fo/publication/Catherine_C__Marshall,Catherine C.,Marshall
http://www.gra.fo/publication/Li_Zhang_____,Li Zhang,0001
http://www.gra.fo/publication/E__Nahouraii,E.,Nahouraii
http://www.gra.fo/publication/Jonathan_Ashley,Jonathan,Ashley
http://www.gra.fo/publication/Ahmed_E__Kamal,Ahmed E.,Kamal
http://www.gra.fo/publication/C__V__Yurkanan,C. V.,Yurkanan
http://www.gra.fo/publication/Pauray_S__M__Tsai,Pauray S. M.,Tsai
http://www.gra.fo/publication/Peter_B__Danzig,Peter B.,Danzig
http://www.gra.fo/publication/E__R__Warkentine,E. R.,Warkentine
http://www.gra.fo/publication/Anton_Puolakka,Anton,Puolakka
http://www.gra.fo/publication/Claudio_Bettini,Claudio,Bettini
http://www.gra.fo/publication/Özalp_Babaoglu,Özalp,Babaoglu
http://www.gra.fo/publication/Sudhir_K__Arora,Sudhir K.,Arora
http://www.gra.fo/publication/Costantino_Thanos,Costantino,Thanos
http://www.gra.fo/publication/Bo_S__Hansen,Bo S.,Hansen
http://www.gra.fo/publication/Marjorie_Templeton,Marjorie,Templeton
http://www.gra.fo/publication/Malcolm_Colton,Malcolm,Colton
http://www.gra.fo/publication/Kerkko_Luosto,Kerkko,Luosto
http://www.gra.fo/publication/Jacob_Slonim,Jacob,Slonim
http://www.gra.fo/publication/M__M__Gore,M.,Gore
http://www.gra.fo/publication/Eric_G__Manning,Eric G.,Manning
http://www.gra.fo/publication/Ki_Hong_Park,Ki-Hong,Park
http://www.gra.fo/publication/Rudy_Hirschheim,Rudy,Hirschheim
http://www.gra.fo/publication/Lawrence_Flon,Lawrence,Flon
http://www.gra.fo/publication/Cynthia_Tham,Cynthia,Tham
http://www.gra.fo/publication/William_S__Mark,William S.,Mark
http://www.gra.fo/publication/Despina_Papoulis,Despina,Papoulis
http://www.gra.fo/publication/Steven_Geffner,Steven,Geffner
http://www.gra.fo/publication/Edmund_K__Lai,Edmund K.,Lai
http://www.gra.fo/publication/Daniel_J__Duchamp,Daniel J.,Duchamp
